Condiciones_20_del_20_hogar_Sexo,Condiciones_20_del_20_hogar_Zona,Condiciones_20_del_20_hogar_Departamento,Condiciones_20_del_20_hogar_Etario,Condiciones_20_del_20_hogar_No_carente,Condiciones_20_del_20_hogar_Valor,Condiciones_20_del_20_hogar_Total,Condiciones_20_del_20_hogar_Proporción,Condiciones_20_del_20_hogar_Variable,Condiciones_20_del_20_hogar_ID,Condiciones_20_del_20_hogar_Nombre_dpto
Mujer,Urbano,70,Menor,30282.13,63383.24,93665.37,0.676698762840525,Sin internet,4096,Sucre
Mujer,Urbano,70,Menor,51080.85,42584.52,93665.37,0.454645297402872,Hacinamiento,924,Sucre
Mujer,Urbano,70,Menor,79270.22,14395.15,93665.37,0.153687002998013,Sin pisos duraderos,6232,Sucre
Mujer,Urbano,70,Menor,87094.02,6571.351,93665.37,0.0701577434648473,Sin paredes duraderas,6766,Sucre
Mujer,Urbano,70,Menor,93629.36,36.017779,93665.37,0.000384536771701217,Sin electricidad,5698,Sucre
Mujer,Urbano,73,Mayor,173268.4,178055.9,351324.3,0.506813505356732,Sin internet,4105,Tolima
Mujer,Urbano,73,Mayor,287897.6,63426.68,351324.3,0.180535989113193,Hacinamiento,933,Tolima
Mujer,Urbano,73,Mayor,339680.5,11643.82,351324.3,0.0331426548063997,Sin paredes duraderas,6775,Tolima
Mujer,Urbano,73,Mayor,347482.8,3841.507,351324.3,0.0109343617848239,Sin pisos duraderos,6241,Tolima
Mujer,Urbano,73,Mayor,350973.7,350.57963,351324.3,0.000997880391421829,Sin electricidad,5707,Tolima
Mujer,Urbano,73,Menor,60641.19,87043.65,147684.8,0.589388007432044,Sin internet,4102,Tolima
Mujer,Urbano,73,Menor,99901.44,47783.39,147684.8,0.323549816907359,Hacinamiento,930,Tolima
Mujer,Urbano,73,Menor,141587.8,6097.029,147684.8,0.0412840657941779,Sin paredes duraderas,6772,Tolima
Mujer,Urbano,73,Menor,146191.8,1493.075,147684.8,0.0101098758978581,Sin pisos duraderos,6238,Tolima
Mujer,Urbano,73,Menor,147426,258.86734,147684.8,0.00175283671711645,Sin electricidad,5704,Tolima
Mujer,Urbano,76,Mayor,944727.9,522085.7,1466813.5,0.355931889091558,Sin internet,4111,Valle del Cauca
Mujer,Urbano,76,Mayor,1298302.6,168510.9,1466813.5,0.114882294170322,Hacinamiento,939,Valle del Cauca
Mujer,Urbano,76,Mayor,1450018.6,16794.95,1466813.5,0.0114499559759983,Sin paredes duraderas,6781,Valle del Cauca
Mujer,Urbano,76,Mayor,1462499.5,4313.998,1466813.5,0.00294106783173185,Sin pisos duraderos,6247,Valle del Cauca
Mujer,Urbano,76,Mayor,1465350.7,1462.785,1466813.5,0.000997253570409599,Sin electricidad,5713,Valle del Cauca
Mujer,Urbano,76,Menor,286214.56,196953.6,483168.1,0.407629559981298,Sin internet,4108,Valle del Cauca
Mujer,Urbano,76,Menor,369911.8,113256.3,483168.1,0.234403512980265,Hacinamiento,936,Valle del Cauca
Mujer,Urbano,76,Menor,477795.7,5372.412,483168.1,0.0111191363833829,Sin paredes duraderas,6778,Valle del Cauca
Mujer,Urbano,76,Menor,480835.4,2332.727,483168.1,0.00482798222813137,Sin pisos duraderos,6244,Valle del Cauca
Mujer,Urbano,76,Menor,482072.6,1095.549,483168.1,0.00226742825116145,Sin electricidad,5710,Valle del Cauca

