Hoja1_Sexo,Hoja1_Zona,Hoja1_Departamento,Hoja1_Etario,Hoja1_Grupo,Hoja1_No_carente,Hoja1_Valor,Hoja1_Total,Hoja1_Sector,Hoja1_Proporción,Hoja1_Variable,Hoja1_ID,Hoja1_Nombre_dpto
Hombre,Rural,13,Mayor,Venezolana,2979.073,131.27664,3110.349,Multisector,0.0422064019182413,Sin paredes duraderas,6538,Bolívar
Hombre,Rural,13,Menor,Colombiana,3731.168,91861.92,95593.08,Multisector,0.960968304400277,Sin trabajo,3863,Bolívar
Hombre,Rural,13,Menor,Colombiana,36383.66,59209.42,95593.08,Multisector,0.61939023201261,Hacinamiento,691,Bolívar
Hombre,Rural,13,Menor,Colombiana,56075.74,39517.35,95593.08,Multisector,0.413391324978754,Sin pisos duraderos,5999,Bolívar
Hombre,Rural,13,Menor,Colombiana,77011.96,18581.13,95593.08,Multisector,0.194377354511435,Sin electricidad,5465,Bolívar
Hombre,Rural,13,Menor,Colombiana,80247.06,15346.02,95593.08,Multisector,0.160534842061789,Sin paredes duraderas,6533,Bolívar
Hombre,Rural,13,Menor,Retornada,0,80.646774,80.646774,Multisector,1,Hacinamiento,692,Bolívar
Hombre,Rural,13,Menor,Retornada,0,80.646774,80.646774,Multisector,1,Sin trabajo,3864,Bolívar
Hombre,Rural,13,Menor,Retornada,80.646774,0,80.646774,Multisector,0,Sin electricidad,5466,Bolívar
Hombre,Rural,13,Menor,Retornada,80.646774,0,80.646774,Multisector,0,Sin paredes duraderas,6534,Bolívar
Hombre,Rural,13,Menor,Retornada,80.646774,0,80.646774,Multisector,0,Sin pisos duraderos,6000,Bolívar
Hombre,Rural,13,Menor,Venezolana,142.84752,4204.377,4347.224,Multisector,0.967140639635777,Sin trabajo,3865,Bolívar
Hombre,Rural,13,Menor,Venezolana,1515.004,2832.22,4347.224,Multisector,0.65150081983353,Hacinamiento,693,Bolívar
Hombre,Rural,13,Menor,Venezolana,3639.2488,707.97531,4347.224,Multisector,0.162856873719873,Sin pisos duraderos,6001,Bolívar
Hombre,Rural,13,Menor,Venezolana,3839.789,507.43486,4347.224,Multisector,0.116726182041689,Sin paredes duraderas,6535,Bolívar
Hombre,Rural,13,Menor,Venezolana,3941.792,405.43235,4347.224,Multisector,0.0932623554709856,Sin electricidad,5467,Bolívar
Hombre,Rural,15,Mayor,Colombiana,12770.63,158603.3,171373.9,Multisector,0.925481068003938,Sin trabajo,3871,Boyacá
Hombre,Rural,15,Mayor,Colombiana,141821.2,29552.73,171373.9,Multisector,0.172445920878267,Hacinamiento,699,Boyacá
Hombre,Rural,15,Mayor,Colombiana,152233.8,19140.13,171373.9,Multisector,0.111686376980392,Sin paredes duraderas,6541,Boyacá
Hombre,Rural,15,Mayor,Colombiana,163744,7629.921,171373.9,Multisector,0.0445220713305819,Sin pisos duraderos,6007,Boyacá
Hombre,Rural,15,Mayor,Colombiana,168492.3,2881.591,171373.9,Multisector,0.0168146433033268,Sin electricidad,5473,Boyacá
Hombre,Rural,15,Mayor,Retornada,0,1136.237,1136.237,Multisector,1,Sin trabajo,3872,Boyacá
Hombre,Rural,15,Mayor,Retornada,534.27953,601.95714,1136.237,Multisector,0.529781322030527,Hacinamiento,700,Boyacá
Hombre,Rural,15,Mayor,Retornada,789.63114,346.60553,1136.237,Multisector,0.30504686082217,Sin electricidad,5474,Boyacá
Hombre,Rural,15,Mayor,Retornada,1136.237,0,1136.237,Multisector,0,Sin paredes duraderas,6542,Boyacá
Hombre,Rural,15,Mayor,Retornada,1136.237,0,1136.237,Multisector,0,Sin pisos duraderos,6008,Boyacá
Hombre,Rural,15,Mayor,Venezolana,0,1756.397,1756.397,Multisector,1,Sin trabajo,3873,Boyacá
Hombre,Rural,15,Mayor,Venezolana,162.71979,1593.677,1756.397,Multisector,0.907355797123315,Hacinamiento,701,Boyacá
Hombre,Rural,15,Mayor,Venezolana,1756.397,0,1756.397,Multisector,0,Sin electricidad,5475,Boyacá
Hombre,Rural,15,Mayor,Venezolana,1756.397,0,1756.397,Multisector,0,Sin paredes duraderas,6543,Boyacá
Hombre,Rural,15,Mayor,Venezolana,1756.397,0,1756.397,Multisector,0,Sin pisos duraderos,6009,Boyacá
Hombre,Rural,15,Menor,Colombiana,8966.998,89641.69,98608.69,Multisector,0.90906480960248,Sin trabajo,3869,Boyacá
Hombre,Rural,15,Menor,Colombiana,63311.64,35297.05,98608.69,Multisector,0.357950703938973,Hacinamiento,697,Boyacá
Hombre,Rural,15,Menor,Colombiana,88293.06,10315.63,98608.69,Multisector,0.104611774073867,Sin paredes duraderas,6539,Boyacá
Hombre,Rural,15,Menor,Colombiana,95520.44,3088.246,98608.69,Multisector,0.0313181931531592,Sin pisos duraderos,6005,Boyacá
Hombre,Rural,15,Menor,Colombiana,97385.735,1222.954,98608.69,Multisector,0.0124020915398024,Sin electricidad,5471,Boyacá
Hombre,Rural,15,Menor,Venezolana,0,1020.01,1020.01,Multisector,1,Sin trabajo,3870,Boyacá
Hombre,Rural,15,Menor,Venezolana,267.441925,752.5685,1020.01,Multisector,0.737805021519397,Hacinamiento,698,Boyacá
Hombre,Rural,15,Menor,Venezolana,1020.01,0,1020.01,Multisector,0,Sin electricidad,5472,Boyacá
Hombre,Rural,15,Menor,Venezolana,1020.01,0,1020.01,Multisector,0,Sin paredes duraderas,6540,Boyacá
Hombre,Rural,15,Menor,Venezolana,1020.01,0,1020.01,Multisector,0,Sin pisos duraderos,6006,Boyacá
Hombre,Rural,17,Mayor,Colombiana,6079.544,103495.3,109574.8,Multisector,0.944517352529961,Sin trabajo,3876,Caldas
Hombre,Rural,17,Mayor,Colombiana,82440.13,27134.69,109574.8,Multisector,0.247636226577644,Sin paredes duraderas,6546,Caldas
Hombre,Rural,17,Mayor,Colombiana,92058.17,17516.65,109574.8,Multisector,0.159860205083651,Hacinamiento,704,Caldas
Hombre,Rural,17,Mayor,Colombiana,108129.1,1445.715,109574.8,Multisector,0.0131938639176161,Sin pisos duraderos,6012,Caldas
Hombre,Rural,17,Mayor,Colombiana,109107.3,467.50214,109574.8,Multisector,0.00426651146066431,Sin electricidad,5478,Caldas
Hombre,Rural,17,Mayor,Retornada,0,91.2677536,91.2677536,Multisector,1,Sin trabajo,3877,Caldas
Hombre,Rural,17,Mayor,Retornada,91.2677536,0,91.2677536,Multisector,0,Hacinamiento,705,Caldas
Hombre,Rural,17,Mayor,Retornada,91.2677536,0,91.2677536,Multisector,0,Sin electricidad,5479,Caldas
Hombre,Rural,17,Mayor,Retornada,91.2677536,0,91.2677536,Multisector,0,Sin paredes duraderas,6547,Caldas
Hombre,Rural,17,Mayor,Retornada,91.2677536,0,91.2677536,Multisector,0,Sin pisos duraderos,6013,Caldas
Hombre,Rural,17,Mayor,Venezolana,192.11626,603.56297,795.67923,Multisector,0.758550615930995,Sin trabajo,3878,Caldas
Hombre,Rural,17,Mayor,Venezolana,344.21093,451.46829,795.67923,Multisector,0.567399867909082,Hacinamiento,706,Caldas
Hombre,Rural,17,Mayor,Venezolana,476.31957,319.35965,795.67923,Multisector,0.401367332411077,Sin paredes duraderas,6548,Caldas
Hombre,Rural,17,Mayor,Venezolana,795.67923,0,795.67923,Multisector,0,Sin electricidad,5480,Caldas
Hombre,Rural,17,Mayor,Venezolana,795.67923,0,795.67923,Multisector,0,Sin pisos duraderos,6014,Caldas
Hombre,Rural,17,Menor,Colombiana,2575.032,52831.58,55406.61,Multisector,0.953524859218061,Sin trabajo,3874,Caldas
Hombre,Rural,17,Menor,Colombiana,36799.47,18607.137,55406.61,Multisector,0.335828829809295,Hacinamiento,702,Caldas
Hombre,Rural,17,Menor,Colombiana,42574.3,12832.31,55406.61,Multisector,0.231602510963945,Sin paredes duraderas,6544,Caldas
Hombre,Rural,17,Menor,Colombiana,54106.99,1299.621,55406.61,Multisector,0.0234560641771803,Sin pisos duraderos,6010,Caldas
Hombre,Rural,17,Menor,Colombiana,55233.47,173.14095,55406.61,Multisector,0.00312491505977355,Sin electricidad,5476,Caldas
Hombre,Rural,17,Menor,Venezolana,0,156.730835,156.730835,Multisector,1,Hacinamiento,703,Caldas
Hombre,Rural,17,Menor,Venezolana,0,156.730835,156.730835,Multisector,1,Sin paredes duraderas,6545,Caldas
Hombre,Rural,17,Menor,Venezolana,0,156.730835,156.730835,Multisector,1,Sin trabajo,3875,Caldas
Hombre,Rural,17,Menor,Venezolana,156.730835,0,156.730835,Multisector,0,Sin electricidad,5477,Caldas
Hombre,Rural,17,Menor,Venezolana,156.730835,0,156.730835,Multisector,0,Sin pisos duraderos,6011,Caldas
Hombre,Rural,18,Mayor,Colombiana,4106.78,81728.475,85835.25,Multisector,0.952155146050137,Sin trabajo,3881,Caquetá
Hombre,Rural,18,Mayor,Colombiana,59968.38,25866.88,85835.25,Multisector,0.301354979451915,Hacinamiento,709,Caquetá
Hombre,Rural,18,Mayor,Colombiana,79920.58,5914.676,85835.25,Multisector,0.0689073078950664,Sin pisos duraderos,6017,Caquetá
Hombre,Rural,18,Mayor,Colombiana,82345.59,3489.6653,85835.25,Multisector,0.0406553869185445,Sin electricidad,5483,Caquetá
Hombre,Rural,18,Mayor,Colombiana,85660.76,174.49235,85835.25,Multisector,0.00203287518822395,Sin paredes duraderas,6551,Caquetá
Hombre,Rural,18,Mayor,Retornada,0,22.404449,22.404449,Multisector,1,Sin trabajo,3882,Caquetá
Hombre,Rural,18,Mayor,Retornada,22.404449,0,22.404449,Multisector,0,Hacinamiento,710,Caquetá
Hombre,Rural,18,Mayor,Retornada,22.404449,0,22.404449,Multisector,0,Sin electricidad,5484,Caquetá
Hombre,Rural,18,Mayor,Retornada,22.404449,0,22.404449,Multisector,0,Sin paredes duraderas,6552,Caquetá
Hombre,Rural,18,Mayor,Retornada,22.404449,0,22.404449,Multisector,0,Sin pisos duraderos,6018,Caquetá
Hombre,Rural,18,Mayor,Venezolana,0,243.22453,243.22453,Multisector,1,Sin trabajo,3883,Caquetá
Hombre,Rural,18,Mayor,Venezolana,108.29094,134.93359,243.22453,Multisector,0.554769660773936,Hacinamiento,711,Caquetá
Hombre,Rural,18,Mayor,Venezolana,243.22453,0,243.22453,Multisector,0,Sin electricidad,5485,Caquetá
Hombre,Rural,18,Mayor,Venezolana,243.22453,0,243.22453,Multisector,0,Sin paredes duraderas,6553,Caquetá
Hombre,Rural,18,Mayor,Venezolana,243.22453,0,243.22453,Multisector,0,Sin pisos duraderos,6019,Caquetá
Hombre,Rural,18,Menor,Colombiana,3326.556,58110.43,61436.98,Multisector,0.945854272133819,Sin trabajo,3879,Caquetá
Hombre,Rural,18,Menor,Colombiana,33800.17,27636.81,61436.98,Multisector,0.449839982368925,Hacinamiento,707,Caquetá
Hombre,Rural,18,Menor,Colombiana,57455.24,3981.74,61436.98,Multisector,0.0648101518010814,Sin pisos duraderos,6015,Caquetá
Hombre,Rural,18,Menor,Colombiana,58683.22,2753.766,61436.98,Multisector,0.044822613351112,Sin electricidad,5481,Caquetá
Hombre,Rural,18,Menor,Colombiana,61436.98,0,61436.98,Multisector,0,Sin paredes duraderas,6549,Caquetá
Hombre,Rural,18,Menor,Venezolana,0,145.20163,145.20163,Multisector,1,Sin trabajo,3880,Caquetá
Hombre,Rural,18,Menor,Venezolana,145.20163,0,145.20163,Multisector,0,Hacinamiento,708,Caquetá
Hombre,Rural,18,Menor,Venezolana,145.20163,0,145.20163,Multisector,0,Sin electricidad,5482,Caquetá
Hombre,Rural,18,Menor,Venezolana,145.20163,0,145.20163,Multisector,0,Sin paredes duraderas,6550,Caquetá
Hombre,Rural,18,Menor,Venezolana,145.20163,0,145.20163,Multisector,0,Sin pisos duraderos,6016,Caquetá
Hombre,Rural,19,Mayor,Colombiana,17044.62,229535.65,246580.3,Multisector,0.930875864779141,Sin trabajo,3886,Cauca
Hombre,Rural,19,Mayor,Colombiana,160213.7,86366.61,246580.3,Multisector,0.350257542877513,Sin paredes duraderas,6556,Cauca
Hombre,Rural,19,Mayor,Colombiana,188914,57666.31,246580.3,Multisector,0.233864221918783,Hacinamiento,714,Cauca
Hombre,Rural,19,Mayor,Colombiana,192744,53836.32,246580.3,Multisector,0.218331796984593,Sin pisos duraderos,6022,Cauca
Hombre,Rural,19,Mayor,Colombiana,241141.6,5438.703,246580.3,Multisector,0.0220565187081044,Sin electricidad,5488,Cauca
Hombre,Rural,19,Mayor,Retornada,0,756.44434,756.44434,Multisector,1,Sin trabajo,3887,Cauca
Hombre,Rural,19,Mayor,Retornada,623.8964,132.54794,756.44434,Multisector,0.175224974252567,Hacinamiento,715,Cauca
Hombre,Rural,19,Mayor,Retornada,665.64073,90.803612,756.44434,Multisector,0.120040044188843,Sin paredes duraderas,6557,Cauca
Hombre,Rural,19,Mayor,Retornada,756.44434,0,756.44434,Multisector,0,Sin electricidad,5489,Cauca
Hombre,Rural,19,Mayor,Retornada,756.44434,0,756.44434,Multisector,0,Sin pisos duraderos,6023,Cauca
Hombre,Rural,19,Mayor,Venezolana,70.400894,1425.89,1496.291,Multisector,0.952949660193104,Sin trabajo,3888,Cauca
Hombre,Rural,19,Mayor,Venezolana,1231.1951,265.09589,1496.291,Multisector,0.177168672403964,Hacinamiento,716,Cauca
Hombre,Rural,19,Mayor,Venezolana,1496.291,0,1496.291,Multisector,0,Sin electricidad,5490,Cauca
Hombre,Rural,19,Mayor,Venezolana,1496.291,0,1496.291,Multisector,0,Sin paredes duraderas,6558,Cauca
Hombre,Rural,19,Mayor,Venezolana,1496.291,0,1496.291,Multisector,0,Sin pisos duraderos,6024,Cauca
Hombre,Rural,19,Menor,Colombiana,8410.593,116851.9,125262.5,Multisector,0.932856201975851,Sin trabajo,3884,Cauca
Hombre,Rural,19,Menor,Colombiana,70802.4,54460.09,125262.5,Multisector,0.434767707813591,Hacinamiento,712,Cauca
