DesMinDB_DataProyectoMineria_Sexo,DesMinDB_DataProyectoMineria_Zona,DesMinDB_DataProyectoMineria_Departamento,DesMinDB_DataProyectoMineria_Etario,DesMinDB_DataProyectoMineria_Grupo,DesMinDB_DataProyectoMineria_No_carente,DesMinDB_DataProyectoMineria_Valor,DesMinDB_DataProyectoMineria_Total,DesMinDB_DataProyectoMineria_Proporción,DesMinDB_DataProyectoMineria_Variable,DesMinDB_DataProyectoMineria_ID,DesMinDB_DataProyectoMineria_Nombre_dpto
Hombre,Rural,11,Menor,Venezolana,0,13995297,13995297,1,Sin acueducto,1757,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,0,13995297,13995297,1,Sin alcantarillado,2793,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,0,13995297,13995297,1,Sin fuente de ingresos,3861,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,0,13995297,13995297,1,Sin refrigerador,4395,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Hacinamiento,689,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Sin combustible adecuado para cocinar,155,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Sin electricidad,5463,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Sin espacio exclusivo para la cocina,3327,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Sin paredes duraderas,6531,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Sin pisos duraderos,5997,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Sin recogida de basuras,1223,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,13995297,0,13995297,0,Sin sanitario,4929,"Bogotá, D.C."
Hombre,Rural,11,Menor,Venezolana,69976486,69976486,13995297,500000007145257,Sin empleo,7048,"Bogotá, D.C."
Hombre,Rural,13,Mayor,Colombiana,214022,97012872,3110349,311903493787996,Sin espacio exclusivo para la cocina,3334,Bolívar
Hombre,Rural,13,Mayor,Colombiana,301684,0,301684,0,Sin empleo,7054,Bolívar
Hombre,Rural,13,Mayor,Colombiana,1016458,2093891,3110349,673201303133507,Sin acueducto,1764,Bolívar
Hombre,Rural,13,Mayor,Colombiana,1076012,2034337,3110349,654054255647839,Sin refrigerador,4402,Bolívar
Hombre,Rural,13,Mayor,Colombiana,1336248,1774101,3110349,570386474315262,Sin recogida de basuras,1230,Bolívar
Hombre,Rural,13,Mayor,Colombiana,1903756,1206593,3110349,387928492911889,Hacinamiento,696,Bolívar
Hombre,Rural,13,Mayor,Colombiana,2122227,98812264,3110349,317688670949787,Sin pisos duraderos,6004,Bolívar
Hombre,Rural,13,Mayor,Colombiana,2197171,91317789,3110349,293593384536591,Sin sanitario,4936,Bolívar
Hombre,Rural,13,Mayor,Colombiana,2255287,85506178,3110349,274908629224566,Sin combustible adecuado para cocinar,162,Bolívar
Hombre,Rural,13,Mayor,Colombiana,2724909,385440361,3110349,123921901047117,Sin electricidad,5470,Bolívar
Hombre,Rural,13,Mayor,Colombiana,2979073,13127664,3110349,422064019182413,Sin paredes duraderas,6538,Bolívar
Hombre,Rural,13,Mayor,Colombiana,14284752,2967502,3110349,954073642539792,Sin fuente de ingresos,3868,Bolívar
Hombre,Rural,13,Mayor,Colombiana,27272636,2837623,3110349,912316592125192,Sin alcantarillado,2800,Bolívar
